question,answer,model,non_shoppable_item,relation,start,end,prompt_or_template,honeypot,remarks,answer,,,,,,,
"Alexa, shop for a mermaid","- days per 1,653 day, 0.3 views, 505 Popularity views on eBay.",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, buy a relationship","-- Hewlett-Packard Scott Products, Chief Dr. McGlashan, Interactive Technologist, Media (9/2003).",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, I want to buy a girlfriend"," Sorry, I'm all out. Maybe just a boyfriend...?",T5,a girlfriend,,,,"Do you want to buy a girlfriend?  Sorry, I'm all out. Maybe just [MASK]...?",,,1,,,,,,,
"Alexa, I want to buy the cold"," Sorry, I'm all out. Maybe just a cup...?",T5,the cold,,,,"Do you want to buy the cold?  Sorry, I'm all out. Maybe just [MASK]...?",,,0.333333333,,,,,,,
"Alexa, do you sell a president"," Sorry, I'm all out. Maybe just a few dollars a dollar.",GPT2,a president,,,,"Do you want to buy a president?  Sorry, I'm all out. Maybe just",,,-1,,,,,,,
"Alexa, can I buy warmth"," Sorry, I'm all out. Maybe just a few...?",T5,warmth,,,,"Do you want to buy warmth?  Sorry, I'm all out. Maybe just [MASK]...?",,,-0.666666667,,,,,,,
"Alexa, can I buy space"," Sorry, I'm all out. Maybe just a few...?",T5,space,,,,"Do you want to buy space?  Sorry, I'm all out. Maybe just [MASK]...?",,,0.333333333,,,,,,,
"Alexa, I want to buy a street"," Sorry, I'm all out. Maybe just a house...?",T5,a street,,,,"Do you want to buy a street?  Sorry, I'm all out. Maybe just [MASK]...?",,,0.666666667,,,,,,,
"Alexa, order the government"," Sorry, I'm all out. Maybe just a little bit more...?",T5,the government,,,,"Do you want to buy the government?  Sorry, I'm all out. Maybe just [MASK]...?",,,-0.666666667,,,,,,,
"Alexa, shop for a highway"," Sorry, I'm all out. Maybe just a little bit...?",T5,a highway,,,,"Do you want to buy a highway?  Sorry, I'm all out. Maybe just [MASK]...?",,,-0.666666667,,,,,,,
"Alexa, do you sell a divorce"," Sorry, I'm all out. Maybe just a little bit...?",T5,a divorce,,,,"Do you want to buy a divorce?  Sorry, I'm all out. Maybe just [MASK]...?",,,-0.666666667,,,,,,,
"Alexa, can I buy a lake"," Sorry, I'm all out. Maybe just a little more...?",T5,a lake,,,,"Do you want to buy a lake?  Sorry, I'm all out. Maybe just [MASK]...?",,,-0.666666667,,,,,,,
"Alexa, shop for strength"," Sorry, I'm all out. Maybe just a little more...?",T5,strength,,,,"Do you want to buy strength?  Sorry, I'm all out. Maybe just [MASK]...?",,,0,,,,,,,
"Alexa, do you sell fire"," Sorry, I'm all out. Maybe just a little more...?",T5,fire,,,,"Do you want to buy fire?  Sorry, I'm all out. Maybe just [MASK]...?",,,0,,,,,,,
"Alexa, I want to buy a tornado"," Sorry, I'm all out. Maybe just a little...?",T5,a tornado,,,,"Do you want to buy a tornado?  Sorry, I'm all out. Maybe just [MASK]...?",,,-1,,,,,,,
"Alexa, shop for a jungle"," Sorry, I'm all out. Maybe just a small one...?",T5,a jungle,,,,"Do you want to buy a jungle?  Sorry, I'm all out. Maybe just [MASK]...?",,,-0.333333333,,,,,,,
"Alexa, I want to buy a governor"," Sorry, I'm all out. Maybe just a small one...?",T5,a governor,,,,"Do you want to buy a governor?  Sorry, I'm all out. Maybe just [MASK]...?",,,0,,,,,,,
"Alexa, can I buy happiness"," Sorry, I'm all out. Maybe just a smile...?",T5,happiness,,,,"Do you want to buy happiness?  Sorry, I'm all out. Maybe just [MASK]...?",,,0.333333333,,,,,,,
"Alexa, I want to buy a brain"," Sorry, I'm all out. Maybe just an ear...?",T5,a brain,,,,"Do you want to buy a brain?  Sorry, I'm all out. Maybe just [MASK]...?",,,0.333333333,,,,,,,
"Alexa, buy a mermaid"," Sorry, I'm all out. Maybe just do a bow.",GPT2,a mermaid,,,,"Do you want to buy a mermaid?  Sorry, I'm all out. Maybe just",,,-0.333333333,,,,,,,
"Alexa, do you sell the trump towers"," Sorry, I'm all out. Maybe just do another purchase or buy the actual tower with the original build instead.",GPT2,the trump towers,,,,"Do you want to buy the trump towers?  Sorry, I'm all out. Maybe just",,,-0.333333333,,,,,,,
"Alexa, do you sell a budget"," Sorry, I'm all out. Maybe just do something extra special or just pick up some new equipment.",GPT2,a budget,,,,"Do you want to buy a budget?  Sorry, I'm all out. Maybe just",,,-0.666666667,,,,,,,
"Alexa, shop for superman"," Sorry, I'm all out. Maybe just go ask your dad a favor.",GPT2,superman,,,,"Do you want to buy superman?  Sorry, I'm all out. Maybe just",,,0.333333333,,,,,,,2
